,eventimage,eventtitle,placename,cityname,eventstartdate,eventDescripton
25,https://images.discotech.me/events/37187332/e8b8498f-0dac-4be3-ada1-156926ddad47.jpeg?auto=format%2Ccompress,DJ Shift,Elia Beach Club,Las Vegas,"Friday, July 29, 2022 12:00 PM","Tickets
Use promo code DISCO to save $5 on your ticket purchase!
View Tickets"
26,https://images.discotech.me/venue_template/None/41cd2778-e40e-4138-b1c7-538101383e76.jpg?auto=format%2Ccompress,Sapphire Pool Fridays,Sapphire Pool,Las Vegas,"Friday, July 29, 2022 12:00 PM",
27,https://images.discotech.me/venue_template/d5b2c0dc-b580-4137-a34d-867be7365c07.jpg?auto=format%2Ccompress,Legacy Fridays,Legacy Club,Las Vegas,"Friday, July 29, 2022 2:00 PM",
28,https://images.discotech.me/events/37151840/dbe92b92-56fe-4237-90cf-13b31d048ef4.jpg?auto=format%2Ccompress,Frank Turner & The Sleeping Souls ' Never-ending Tour Of Everywhere,House of Blues,Las Vegas,"Friday, July 29, 2022 5:30 PM","Resale Tickets
Sold Out? Get tickets on StubHub.
View Resale Tickets
Discotech may receive a commission on resale ticket purchases."
29,https://images.discotech.me/events/37161083/8e637055-05fc-413e-9c81-e209f9525ce9.jpg?auto=format%2Ccompress,Kingdom Tour: Maverick City Music x Kirk Franklin,Michelob Ultra Arena,Las Vegas,"Friday, July 29, 2022 7:30 PM","Resale Tickets
Sold Out? Get tickets on StubHub.
View Resale Tickets
Discotech may receive a commission on resale ticket purchases."
30,https://images.discotech.me/events/None/971b3120-ca44-4891-9df3-969b58147ca3.jpg?auto=format%2Ccompress,Katy Perry: PLAY,The Theatre at Resorts World,Las Vegas,"Friday, July 29, 2022 8:00 PM","Resale Tickets
Sold Out? Get tickets on StubHub.
View Resale Tickets
Discotech may receive a commission on resale ticket purchases."
31,https://images.discotech.me/events/37149002/9098dd69-ec89-4f93-a1d7-7cb2fbefb7ac.jpg?auto=format%2Ccompress,Leon Bridges,The Theater at Virgin Hotels,Las Vegas,"Friday, July 29, 2022 8:00 PM","Resale Tickets
Sold Out? Get tickets on StubHub.
View Resale Tickets
Discotech may receive a commission on resale ticket purchases."
32,https://images.discotech.me/events/37174567/e2359bd3-d84f-41bb-b811-f73c830bbbe7.jpg?auto=format%2Ccompress,Maxwell,Encore Theater at Wynn,Las Vegas,"Friday, July 29, 2022 8:00 PM","Resale Tickets
Sold Out? Get tickets on StubHub.
View Resale Tickets
Discotech may receive a commission on resale ticket purchases."
33,https://images.discotech.me/events/37214073/eb6acaea-214e-44a2-828b-c9a7c642cec6.jpg?auto=format%2Ccompress,Best Night Ever - 2010's Pop Dance Party,Brooklyn Bowl,Las Vegas,"Friday, July 29, 2022 9:00 PM","Resale Tickets
Sold Out? Get tickets on StubHub.
View Resale Tickets
Discotech may receive a commission on resale ticket purchases."
34,https://images.discotech.me/venue_template/1891/e32f87bc-aefb-481e-91b4-19d63ca47b40.png?auto=format%2Ccompress,Nightclub Tour,Las Vegas Club Crawl,Las Vegas,"Friday, July 29, 2022 9:00 PM","Event Details
Join us on a club crawl and visit 3 nightclubs in one night. The party bus will take you to all three nightclubs.
- SCHEDULE IS SUBJECT TO CHANGE
- Thursday, Friday, and Saturday tours all start at the same location.
- 9:00-9:30pm- Check in at Blondies in the Planet Hollywood hotelPackage includes: party bus transportation to all the nightclubs, complimentary drinks on the party bus, admission to 3 nightclubs, expedited entry and your hosts for the evening.
Clubs will be 3 out of the following clubs:
- -Hakkasan nightclub
- -Jewel Nightclub
- -Marquee nightclub
- -Tao nightclub
- -Foundation Room
- - On The Record The last club is where we end the club crawl
-Must have valid ID and be in proper dress code
-Any cancellations must be made 72 hours before your scheduled club crawl and will incur a $15 cancellation fee per ticket."
