,urls
238,https://app.discotech.me/events/37249955-bleaulive-presents-maxim-labor-day-pool-party-with-konstantina-at-fontainebleau-miami
239,https://app.discotech.me/events/37196809-bottled-blonde-saturdays-at-blottled-blonde
240,https://app.discotech.me/events/37195499-rose-saturdays-at-nikki-beach
241,https://app.discotech.me/events/37196663-saturday-pool-party-at-altitude-pool
242,https://app.discotech.me/events/37196644-strawberry-moon-saturdays-at-strawberry-moon
243,https://app.discotech.me/events/37142435-play-pool-party-at-the-clevelander
244,https://app.discotech.me/events/37196784-kaori-saturdays-at-kaori
245,https://app.discotech.me/events/37196731-chi-dinner-party-at-chi
246,https://app.discotech.me/events/37228765-living-room-saturdays-at-living-room-bar
247,https://app.discotech.me/events/37196343-baoli-saturdays-at-baoli
248,https://app.discotech.me/events/37196521-el-tucan-saturdays-at-el-tucan
249,https://app.discotech.me/events/37225094-mandrake-saturdays-at-mandrake
250,https://app.discotech.me/events/37196602-marion-saturdays-at-marion
251,https://app.discotech.me/events/37153360-onerepublic-never-ending-summer-tour-at-ithink-financial-amphitheater
252,https://app.discotech.me/events/37214025-social-saturdays-at-no-3-social-rooftop
253,https://app.discotech.me/events/37196012-centro-saturdays-at-centro-wynwood
254,https://app.discotech.me/events/37109805-ldw-all-white-yacht-party-at-boat-party-booze-cruise
255,https://app.discotech.me/events/37196510-mau-saturdays-at-mau
256,https://app.discotech.me/events/37217301-euphoric-saturdays-at-da-cave
257,https://app.discotech.me/events/37221185-miami-booze-cruise-1-miami-party-boat-package-at-boat-party-booze-cruise
258,https://app.discotech.me/events/37250851-night-swim-rick-ross-labor-day-weekend-2022-at-hyde-lounge
259,https://app.discotech.me/events/37246654-vini-vici-at-treehouse
260,https://app.discotech.me/events/37195557-katana-saturdays-at-komodo-lounge
261,https://app.discotech.me/events/37195514-ldw-ft-50-cent-at-e11even
262,https://app.discotech.me/events/37253122-newman-i-love-all-day-i-dream-anjunadeep-at-do-not-sit-on-the-furniture
263,https://app.discotech.me/events/37250574-saturdays-feat-dagher-keith-christopherplot-more-at-le-rouge
264,https://app.discotech.me/events/37221262-miami-nightclub-package-at-miami-club-crawl
265,https://app.discotech.me/events/37238493-ilario-alicante-and-ben-sterling-at-space-terrace
266,https://app.discotech.me/events/37237421-let-them-eat-cake-at-mad-club
267,https://app.discotech.me/events/37242171-moneybagg-yo-at-story
268,https://app.discotech.me/events/37196588-saturdays-at-tucandela
269,https://app.discotech.me/events/37195783-snl-saturdays-at-exchange-miami
270,https://app.discotech.me/events/37246675-solardo-at-floyd
271,https://app.discotech.me/events/37196479-swan-saturdays-at-swan
272,https://app.discotech.me/events/37195609-vice-saturdays-at-mr-jones
273,https://app.discotech.me/events/37239087-loud-luxury-at-liv
274,https://app.discotech.me/events/37196653-vendome-saturdays-at-vendome-miami
275,https://app.discotech.me/events/37195562-mynt-saturdays-at-mynt
276,https://app.discotech.me/events/37195496-sls-sundays-at-hyde-beach
277,https://app.discotech.me/events/37195511-surfcomber-sundays-at-surfcomber-hotel
278,https://app.discotech.me/events/37249956-bleaulive-presents-maxim-labor-day-pool-party-with-brandi-cyrus-at-fontainebleau-miami
279,https://app.discotech.me/events/37196806-bottled-blonde-sundays-at-blottled-blonde
280,https://app.discotech.me/events/37195500-nikki-beach-sundays-at-nikki-beach
281,https://app.discotech.me/events/37196645-strawberry-moon-sundays-at-strawberry-moon
282,https://app.discotech.me/events/37196664-sunday-pool-party-at-altitude-pool
283,https://app.discotech.me/events/37227547-play-pool-party-at-the-clevelander
284,https://app.discotech.me/events/37197732-yotto-the-musette-miami-yacht-cruise-at-boat-party-booze-cruise
285,https://app.discotech.me/events/37252563-sundays-are-lucky-at-1-800-lucky
286,https://app.discotech.me/events/37196785-kaori-sundays-at-kaori
287,https://app.discotech.me/events/37196732-chi-dinner-at-chi
288,https://app.discotech.me/events/37250803-feid-live-in-concert-at-oasis-wynwood
289,https://app.discotech.me/events/37221186-miami-booze-cruise-1-miami-party-boat-package-at-boat-party-booze-cruise
290,https://app.discotech.me/events/37217074-kid-cudi-to-the-moon-at-ftx-arena
291,https://app.discotech.me/events/37214041-social-sundays-at-no-3-social-rooftop
292,https://app.discotech.me/events/37196013-centro-sundays-at-centro-wynwood
293,https://app.discotech.me/events/37196511-mau-sundays-at-mau
294,https://app.discotech.me/events/37196791-sunday-vibez-at-rosario
295,https://app.discotech.me/events/37238604-cristoph-at-treehouse
296,https://app.discotech.me/events/37195515-ldw-ft-deadmau5-at-e11even
297,https://app.discotech.me/events/37238494-richie-hawtin-anna-and-ellen-allien-at-space-terrace
298,https://app.discotech.me/events/37195785-cachete-sundays-at-exchange-miami
299,https://app.discotech.me/events/37195606-tease-sundays-at-mr-jones
300,https://app.discotech.me/events/37195497-sundays-at-liv
301,https://app.discotech.me/events/37199454-surfcomber-mondays-at-surfcomber-hotel
302,https://app.discotech.me/events/37199450-less-mondays-at-nikki-beach
303,https://app.discotech.me/events/37241841-strawberry-moon-mondays-at-strawberry-moon
304,https://app.discotech.me/events/37200680-chi-dinner-at-chi
305,https://app.discotech.me/events/37194875-rock-star-karaoke-at-the-clevelander
306,https://app.discotech.me/events/37199505-komodo-lounge-mondays-at-komodo-lounge
307,https://app.discotech.me/events/37221263-miami-nightclub-package-at-miami-club-crawl
308,https://app.discotech.me/events/37200423-swan-mondays-at-swan
309,https://app.discotech.me/events/37200601-vendome-mondays-at-vendome-miami
310,https://app.discotech.me/events/37199510-party-dinner-myntu-at-mynt
311,https://app.discotech.me/events/37199455-surfcomber-tuesdays-at-surfcomber-hotel
312,https://app.discotech.me/events/37199451-nikki-beach-tuesdays-at-nikki-beach
313,https://app.discotech.me/events/37241842-strawberry-moon-tuesdays-at-strawberry-moon
314,https://app.discotech.me/events/37200727-kaori-tuesdays-at-kaori
315,https://app.discotech.me/events/37200681-chi-dinner-at-chi
316,https://app.discotech.me/events/37228781-living-room-tuesdays-at-living-room-bar
317,https://app.discotech.me/events/37200291-baoli-tuesdays-at-baoli
318,https://app.discotech.me/events/37200460-mau-tuesdays-at-mau
319,https://app.discotech.me/events/37200910-bottled-blonde-tuesdays-at-blottled-blonde
320,https://app.discotech.me/events/37199555-purge-tuesdays-at-mr-jones
321,https://app.discotech.me/events/37199456-surfcomber-wednesdays-at-surfcomber-hotel
322,https://app.discotech.me/events/37199452-nikki-beach-wednesdays-at-nikki-beach
323,https://app.discotech.me/events/37241843-strawberry-moon-wednesdays-at-strawberry-moon
324,https://app.discotech.me/events/37200728-kaori-wednesdays-at-kaori
325,https://app.discotech.me/events/37200675-chi-dinner-at-chi
326,https://app.discotech.me/events/37200465-el-tucan-wednesdays-at-el-tucan
327,https://app.discotech.me/events/37225047-ladies-wednesdays-at-mandrake
328,https://app.discotech.me/events/37200548-marion-wednesdays-at-marion
329,https://app.discotech.me/events/37200287-my-boyfriend-is-out-of-town-at-baoli
330,https://app.discotech.me/events/37213978-social-wednesdays-at-no-3-social-rooftop
331,https://app.discotech.me/events/37200459-mau-wednesdays-at-mau
332,https://app.discotech.me/events/37200907-bottled-blonde-wednesdays-at-blottled-blonde
333,https://app.discotech.me/events/37249131-joe-miller-all-day-i-dream-and-octa-digio-at-do-not-sit-on-the-furniture
334,https://app.discotech.me/events/37199506-komodo-wednesdays-at-komodo-lounge
335,https://app.discotech.me/events/37199457-surfcomber-thursdays-at-surfcomber-hotel
336,https://app.discotech.me/events/37199453-nikki-beach-thursdays-at-nikki-beach
337,https://app.discotech.me/events/37241844-strawberry-moon-thursdays-at-strawberry-moon
338,https://app.discotech.me/events/37200729-kaori-thursdays-at-kaori
339,https://app.discotech.me/events/37200676-chi-dinner-party-at-chi
340,https://app.discotech.me/events/37228797-living-room-thursdays-at-living-room-bar
341,https://app.discotech.me/events/37200288-baoli-thursdays-at-baoli
342,https://app.discotech.me/events/37200466-el-tucan-thursdays-at-el-tucan
343,https://app.discotech.me/events/37225063-mandrake-thursdays-at-mandrake
344,https://app.discotech.me/events/37194876-noche-caliente-at-the-clevelander
345,https://app.discotech.me/events/37217270-rnb-thursdays-at-da-cave
346,https://app.discotech.me/events/37213994-social-thursdays-at-no-3-social-rooftop
347,https://app.discotech.me/events/37200547-thursday-soiree-at-marion
348,https://app.discotech.me/events/37199957-centro-latin-thursdays-at-centro-wynwood
349,https://app.discotech.me/events/37200456-mau-thursdays-at-mau
350,https://app.discotech.me/events/37200911-bottled-blonde-thursdays-at-blottled-blonde
351,https://app.discotech.me/events/37199461-chizzle-at-e11even
352,https://app.discotech.me/events/37252539-haus-of-hyde-at-hyde-lounge
353,https://app.discotech.me/events/37250575-thursdays-feat-alepohakuna-more-at-le-rouge
354,https://app.discotech.me/events/37221264-miami-nightclub-package-at-miami-club-crawl
355,https://app.discotech.me/events/37199557-ladies-thursdays-at-mr-jones
356,https://app.discotech.me/events/37200425-pasarela-dinner-party-at-swan
357,https://app.discotech.me/events/37242606-thursdays-at-liv
358,https://app.discotech.me/events/37199507-mynt-thursdays-at-mynt
359,https://app.discotech.me/events/37199443-retreat-fridays-at-hyde-beach
360,https://app.discotech.me/events/37199458-surfcomber-fridays-at-surfcomber-hotel
361,https://app.discotech.me/events/37199447-nikki-beach-fridays-at-nikki-beach
362,https://app.discotech.me/events/37200590-strawberry-moon-fridays-at-strawberry-moon
363,https://app.discotech.me/events/37200730-kaori-fridays-at-kaori
364,https://app.discotech.me/events/37200677-chi-dinner-party-at-chi
365,https://app.discotech.me/events/37228813-living-room-fridays-at-living-room-bar
366,https://app.discotech.me/events/37200289-baoli-fridays-at-baoli
367,https://app.discotech.me/events/37200467-el-tucan-fridays-at-el-tucan
368,https://app.discotech.me/events/37225079-mandrake-fridays-at-mandrake
369,https://app.discotech.me/events/37200550-marion-fridays-at-marion
370,https://app.discotech.me/events/37214010-social-fridays-at-no-3-social-rooftop
371,https://app.discotech.me/events/37199958-centro-fridays-at-centro-wynwood
372,https://app.discotech.me/events/37200455-mau-fridays-at-mau
373,https://app.discotech.me/events/37217286-flash-fridays-at-da-cave
